Timestamp	Store Walk Date	Store Location	Month/Year	Store + Month	Parking Lot Cleanliness #	Yard/Landscaping	Electronic Sign	Outdoor Merchandising	Safety	Curb Appeal Notes	Entry - First Look	Checkout Area	Helpful Hub	Paint Desk/Paint Mixing Areas	Floors	Bathrooms	Store Cleanliness Notes	Old Pegs/Price Tags	Excessive Outs	Location/Peg Hook Maintenance	Back Stock Pulled	Base Deck Clean	Endcap Headers Displayed	Area(s) Needing Attention	Shelf Maintenance Notes	Clean and Organized	Fire Lanes Clear	Order Rec/Stocked 24hrs	Cardboard/Trash Removed	Backroom/Warehouse Notes	Aisles Clear of Totes/Ladders	No Safety Violations	Safety Notes	Final Notes	Curb Appeal Photos	Store Cleanliness Photos	Shelf Maintenance Photos	Backroom/Warehouse Photos	Safety Photos	Additional Photos	Store Walk Date	Email Address	Notes	Year + Store
9/6/2022 11:10:45	09/06/2022	Ridgeway	9 2022	Ridgeway 9 2022	1	1	3	1	1	Weeds, grass, deer corn busted, pallets tipped over. Very bad	5	5	2	3	2	1	Bathrooms are a disaster as Is the break room. Trash in the floors. Toilets gross. Hub has trash on the counter tops. Paint machine hasn’t been purged. No sponge in paint cup.	1	1	1	1	2	1	Lawn and garden backstock. Price changes from 08122022.	 Tons of outs in aisles 1-7. Gloves super messy.	 1	1	3	2	Stihl is really bad: overflowing. Grills are everywhere.	 4	3	Fire lanes must stay clear.	 This store needs a lot of work. Salary positions need to work until the job is done										 2022 Ridgeway
9/6/2022 14:44:21	9/3/2022	Christiansburg	9 2022	Christiansburg 9 2022	5	5	4	5	5	AMISH DISPLAY WAS GREAT!	 5	5	5	3	3	4	Good Variety on entry, pricing needs to be on every grill; RedBull cooler is empty (employees not paying for drinks).  Paint desk is messy.  Bathrooms need some attention, especially the employee bathroom.	  3	3	5	4	3	4	backstock should not be on the sales floor on pallets	Pull your 25% and 50% closeout peg hooks as they empty so that it doesn't look like we're out of the product.  We HAVE to shoot outs twice per week, every week.  only about half of the endcap header signs are displayed.  We need to display as many as possible.	 2	4	5	5	MUCH IMPROVED, but still needs work in the warehouse.	  4	4	Keep all fire lanes and fire doors clear; no totes in aisles as we stock.	Overall much better than last time.  Keep working toward the goals we established regarding warehouse and rental.  A big improvement though, which shows in your total sales as well.							9/3/2022			2022 Christiansburg
9/6/2022 14:52:02	2/1/2022	Christiansburg	2 2022	Christiansburg 2 2022	5	5	5	3	5	Pricing need to be on everything, including pallet goods.	2	2	1	1	2	2	Entry is too cluttered and no pricing.  Third Register is unusable.  Helpful hub is very messy.  Paint Desk has too many items on it that don't belong there.  Floors as very dirty, dust mop regularly.  Bathrooms need a schedule; wipe down walls, trash etc.	  1	5	4	1	3	1	STIHL REPAIR IS UNUSABLE; FIX IMMEDIATELY	Too many missed price changes; Grills especially; Dots Pretzels are all out of date-- trash; Power tool accessory aisle base deck is cluttered from too many put-backs; remerchandise this area.	1	1	1	1	Horrible!  This is the worst I've every seen a back room. Shameful.	3	4	Totes should not be used to stock an aisle and left in the floor.	Store needs a lot of attention regarding back room maintenance, shelf maintenance, as well as cleanliness.  Focus hard on getting some progress in these areas.							 2/1/2022			2022 Christiansburg
9/6/2022 15:41:57	3/9/2022	Christiansburg	3 2022	Christiansburg 3 2022	4	4	5	4	5	finish gravel; cut down trees	 5	3	4	5	5	5	Helpful hub could still use some work; Much Cleaner look on entry	1	5	5	1	3	1	pricing in all areas	24% out of compliance on prices; Pull Scotts order backstock; Aisle 23 is had bad basedeck; Hillman is messy; endcap header signs need to be put up and endcaps merchandised	 1	1	1	5	Stock, Totes, seasonal  -- all clustered ; Fire exit is blocked with merchandise; Stock still in floor from 3 weeks ago.	 5	3	Back room has trip hazards; fall hazards; Fire Lane is blocked.	 Price Changes are definitely an issue; work on completing every price change; Back room is a disaster.							  3/9/2022	nwace.regional@gmail.com		2022 Christiansburg
9/6/2022 16:06:55	3/23/2022	Christiansburg	3 2022	Christiansburg 3 2022	4	4	4	5	5	Sweep up gravel & salt on sidewalk; chop trees; slides are stale on electronic sign; remove shrink on skids	 1	5	4	5	5	5	Toysmith empty; grills look better; relocate Coleman; YETI price changes haven't been completed	 4	4	5	4	5	5	Warehouse; out back	 Old Tags/Price Tags = still bad, but working on it; need to be putting up stock in timely fashion; too much "special" stock hasn't made it off to the floor	1	1	1	4	Disaster' Cardboard/Trash removed kind of... everything is on a pallet	 5	4	Good job keeping aisles clear; leaving products in receiving	 Backroom & shelf maintenance needs to still be addressed; Outside storage solutions - got with Vance; All Stihl repairs need to have tags on them - NO EXCEPTIONS!							  3/23/2022	nwace.regiona@gmail.com		2022 Christiansburg
9/6/2022 16:19:36	5/13/2022	Christiansburg	5 2022	Christiansburg 5 2022	4	4	5	4	4	Clean up end of building - plastic off open pallets; plant shrubs; price Amish; call to get pallets removed	5	4	5	5	5	4	Good cross merchandising; keep register 3 clear; HH Clean!; dust/mop rental when possible; remember to clean weekly - 4/11 last cleaning	 4	4	4	4	4	5	Backroom	shoot excessive out twice a week every week; update locations & peg hook as found; multiple outs in Round Up Seasonal - pull or consolidate; plumbing needs attention; endcaps have been improved	1	5	1	5	Lots of stock that needs houses; stock still left from a week ago	 5	5		Receiving & Rental							 5/13/2022	nwace.regional@gmail.com		2022 Christiansburg
9/6/2022 16:32:26	7/11/2022	Christiansburg	7 2022	Christiansburg 7 2022	4	4	1	4	5	Pallet wraps; spray weeds in island; change sign slides; Amish furniture	4	5	4	5	4	5	Cleanup tent; order squishabro from Blackstone; all 3 registers clear; keep HH void of clutter; floors need sweeping; bathrooms last cleaned 7/5/22	4	4	4	1	1	1	Plumbing; Casters; Paint Buckets; Power Tools Cage	Price changes!; shoot outs every week; check location/peg hooks when doing closeouts; garden hoses, L & G, chemical, etc. is disaster; plumbing is a constant issue; no endcap headers	1	5	1	4	have to start- yeti on sales floor; utilize your help; trashcans out front need to be emptied	 4	5	Casters in floor near fire door								 7/11/2022	nwace.regional@gmail.com		2022 Christiansburg
9/6/2022 16:36:18	5/31/2022	Blackstone	5 2022	Blackstone 5 2022	5	5	5	4	5	Dead plants need to be disposed of	 5	5	5	5	4	5	Floors could use a scrubbing, bathrooms are great!	 4	1	4	5	5	5		Be sure locations are being updated; Excessive outs- locked up PO	 5	5	5	5		5	5									5/31/2022	nwace.regional@gmail.com		2022 Blackstone
9/6/2022 16:47:21	3/12/2022	Blackstone	3 2022	Blackstone 3 2022	5	5	5	5	5	Pricing is very visible; great reduction on electronic sign	4	5	5	5	4	4	Move windchimes; HH is clean - doors for organization!; beautiful paint desk; zebra stripes on floors; second (old) bathroom need some cleaning & work on fan	  4	5	5	5	5	5	Seasonal/Main Run	 Keep working on updating locations, amazing base deck	5	5	5	5	Trash removed - Great!	 5	5	Safety violations- wet floor signs out in rain								 3/12/2022	nwace.regional@gmail.com		2022 Blackstone
9/6/2022 16:55:36	2/22/2022	Blackstone	2 2022	Blackstone 2 2022	5	5	5	4	4	Electronic sign has great rotation!; need pricing on bagged goods/warehouse, table leaning on curb	5	4	4	5	4	5	Great first look- open, clean, priced, inviting; dots out of place in checkout area; HH - a little cluttered, not horrible; floor needs mopping in several spots	1	5	5	5	5	4		Rotate Caps	 4	5	5	5	orders- work through; cardboard/trash removal - town is dropping the ball	 5	5		Bird seed & Grill Accessory skus							 2/22/2022	nwace.regional@gmail.com		2022 Blackstone
